"V1","Users","Product","Ratings","TimeStamp"
"1759","A14P4UH613ZFQZ","0062294776",5,1363651200
"1761","A2GT3TNFITYMML","0062294776",5,1365292800
"1762","A3KN8RX7ZZ1ULZ","0062294776",5,1365033600
"1764","A1LST4I72EIH9P","0062294776",5,1362787200
"1765","A3GV7NR96RJMLK","0062294776",5,1363651200
"1766","A27NVXX82H6EUN","0062294776",5,1362700800
"1767","A2N0V6GUH28XMN","0062294776",5,1362873600
"1768","A37J1XCFNH6FM4","0062294776",4,1362528000
"1770","A1JQVAOISRZK3M","0062294776",5,1363824000
"1771","A19UT0OPQCDR8","0062294776",4,1363219200
"1772","A1JLU5H1CCENWX","0062294776",5,1362268800
"1774","A2Y7HPX4JGE3D0","0062294776",5,1365465600
"1775","A31GMWA73W17SP","0062294776",5,1362873600
"1776","A2QIH5TAPEKLDA","0062294776",5,1373155200
"1780","A2VHD8U494G5M4","0062294776",5,1362096000
"1783","A2Y3ZGVRA3S23L","0062294776",4,1366588800
"1785","A2PMOXCUSGGMX6","0062294776",4,1363219200
"1790","A23VKINWRY6J92","0062294776",5,1362873600
"1792","A30TZBEYTQK723","0062294776",5,1363219200
"1793","A2QRFHJ2MOY662","0062294776",5,1366070400
"1795","A2YOFCOEKH3KB","0062294776",4,1363996800
"1801","A1KYXC0UYAK9UC","0062294776",5,1362268800
"1805","A27V6NFIQ8XFBW","0062294776",5,1382918400
"1806","A1HAX9F7HY0D5V","0062294776",5,1383177600
"1807","A2414AAH5K0H10","0062294776",5,1387065600
"1808","A12ZO1K8ZVRBR5","0062294776",5,1362009600
"1809","A324QY39RJ9A4T","0062294776",4,1372982400
"1811","A1D427FYPTSWR0","0062294776",5,1362441600
"1812","A132J9IE3OXW7M","0062294776",5,1362355200
"1813","AJT87PLLRY7GG","0062294776",4,1377129600
"1814","A3TGY3ANGBNK7C","0062294776",5,1362096000
"1816","A2OBZW6JIRROX6","0062294776",4,1399248000
"1821","A1EREL55X7JD56","0062294776",5,1362528000
"1822","A6EAXALXUOFHY","0062294776",5,1362441600
"1823","A3U7ELIED4WP4R","0062294776",4,1363132800
"1824","ALY4MQYVAEE4U","0062294776",5,1362355200
"1826","A143XY6COA69A","0062294776",5,1376092800
"1827","A7QN3YS1SUO7G","0062294776",5,1363478400
"1829","AGBJLNGU1KNJU","0062294776",5,1364256000
"1830","A185DSX2TJYOEQ","0062294776",5,1364169600
"1832","AQGUOLZBA6M7V","0062294776",5,1362528000
"1839","AP8UJDH513B7U","0062294776",5,1368057600
"1840","A3BVZ567DH6SRJ","0062294776",5,1363478400
"1842","A958LJ1BUJLG5","0062294776",5,1363824000
"1845","A2HJFCZ5YBYEXV","0062294776",3,1381276800
"1846","A3LXRIY0HE71K","0062294776",4,1363478400
"1850","A1KWFT7KHKBHIH","0062294776",5,1361923200
"1851","A33UUSX8ECQTRQ","0062294776",4,1378857600
"1854","A5FDYZB6MG2TT","0062294776",5,1375833600
"1855","AUTMCMDU1Y1O7","0062294776",5,1362182400
"1857","A35CC2LV7L5GFE","0062294776",5,1363305600
"1859","A10PXQY535XY39","0062294776",4,1363132800
"1860","A1OJHBV5QL2DXJ","0062294776",4,1364601600
"1862","A1JI83RLITTQST","0062294776",5,1362528000
"1863","A39B4H20EJ9PMT","0062294776",3,1362614400
"1864","A6M2QSCUVYEJU","0062294776",5,1362009600
"1868","AAWWVH8V7DVX4","0062294776",5,1370217600
"1869","A33JTEMYGCO69V","0062294776",4,1367539200
"1870","A1IRYXDIFSCSEF","0062294776",4,1385510400
"1875","A29G5X33I71N83","0062294776",3,1362700800
"1878","A243FA8XGHI63J","0062294776",5,1365120000
"1882","A2ORQUJV81OPSC","0062294776",5,1379721600
"1885","A1VOV2KWOAVLAA","0062294776",5,1362960000
"1886","A2103X7H4V415L","0062294776",5,1389139200
"1887","A64NGKLPWCG32","0062294776",3,1363392000
"1892","A21J27Z4G0NZFA","0062294776",5,1362960000
"1895","AZD74VERJY2LP","0062294776",4,1363996800
"1896","A3AXMI34CKM714","0062294776",5,1364688000
"1897","AWC38PDUZQ8RJ","0062294776",4,1386201600
"1901","A35RCD7ZMLKPYO","0062294776",5,1378944000
"1903","AGVIWB7GUWKE0","0062294776",3,1363132800
"1904","A535AAXVRE5VM","0062294776",5,1393632000
"1908","A3JMD13D2L8LF0","0062294776",5,1367020800
"1913","A2MI5ZSQ6IV07M","0062294776",3,1363305600
"1914","A2O4SN56PNX9YL","0062294776",5,1377388800
"1916","A2ZBOGVULTN8AC","0062294776",4,1362182400
"1917","AHBARDTLF35PU","0062294776",3,1364256000
"1918","A2U72WDAUX5CD8","0062294776",5,1362009600
"1919","A29M2V3Z5YIL2Q","0062294776",5,1362268800
"1921","A3DANGFIJBZP20","0062294776",5,1390089600
"1922","A1FJ6YD0TL90GN","0062294776",5,1362787200
"1923","A23GHQSCI24QI8","0062294776",5,1362182400
"1924","A3BMLG97SSIKN3","0062294776",5,1362528000
"1925","A11HGVNM8Q5A2O","0062294776",4,1398470400
"1926","AXM9RSMIEVGKS","0062294776",3,1363824000
"1927","A2ISJ6GF6EGDAT","0062294776",4,1363478400
"1930","A64VNUAXNX8VO","0062294776",4,1366070400
"1931","A2I9SOM8NW320O","0062294776",5,1362700800
"1933","A299FEAJTBV8NO","0062294776",5,1366243200
"1935","A1CQB4MLPK52SZ","0062294776",5,1382054400
"1936","A3AD2MXB66CYGL","0062294776",5,1385856000
"1938","A142FJF6Z56NYP","0062294776",5,1390780800
"1939","A1ODOV9W7G3GF3","0062294776",4,1363392000
"1942","A9508DHWVHBTN","0062294776",5,1369008000
"1944","A1RN75YVR2O8MQ","0062294776",5,1368921600
"1947","ADH1DQ8EFBJEO","0062294776",5,1362096000
"1949","AR5O1A0W3ZDCI","0062294776",5,1362787200
"1951","A916DXE9W36GF","0062294776",5,1365811200
"1952","A2KZ6WK0HWB2TD","0062294776",5,1362873600
"1960","A3KBRXW4PKK2MT","0062294776",4,1366416000
"1962","A3HY7DE45OAY0G","0062294776",5,1362441600
"1963","A32CCK9Z1L2JBJ","0062294776",4,1363046400
"1966","A2A96H9YA1LG7G","0062294776",5,1364947200
"1967","A1KZ6HQPP5S5DN","0062294776",3,1395964800
"1968","A2ZP6ZIEQH9TQY","0062294776",5,1365724800
"1969","A2EU9VP0MRMUGE","0062294776",5,1368748800
"1972","A3QLMOH8UIPL74","0062294776",5,1362096000
"1975","A34YRJ0YCUU05L","0062294776",5,1379808000
"1976","AHDWNMKWFS4FZ","0062294776",5,1363651200
"1977","A18O583BFX2LJR","0062294776",4,1374969600
"1978","AKF1XBBWAQR6L","0062294776",2,1373846400
"1983","A5IWXB9M79X30","0062294776",5,1362268800
"1988","A2TTHQTPYO88EL","0062294776",5,1363392000
"1989","A3EJDCT3TAEC2","0062294776",4,1363824000
"1992","A11GG623AD89YT","0062294776",4,1362960000
"1994","A19DWIC1T7127Y","0062294776",5,1366156800
"1997","A3IWM2EU4BUMSD","0062294776",5,1362787200
"1999","A3C5VDFQ6IE702","0062294776",5,1362960000
"2001","A3FQPESOTN6T47","0062294776",5,1372723200
"2002","A1JKGTL51HHTU1","0062294776",5,1363996800
"2003","A1GSF5X6ENMGV","0062294776",4,1362614400
"2005","A1098Z3D7ENJ2F","0062294776",5,1395878400
"2006","A2UMAQ532HI9S","0062294776",5,1362355200
"2007","A2IEQ2QLPYH8I3","0062294776",3,1377043200
"2009","APBF8YPKN9LFL","0062294776",5,1363305600
"2169","A3526B1LCK47X9","006230240X",5,1358985600
"2170","A26NG8QVBF5527","006230240X",3,1364688000
"2171","A2N5N8XEU3HOG","006230240X",5,1398211200
"2173","A14E7UOXFGLIJN","006230240X",5,1367712000
"2174","A3UV7BV3U6NA57","006230240X",5,1387929600
"2175","AE4H1E8A90ZHT","006230240X",5,1363219200
"2182","A2N8SA67TDOL4","006230240X",5,1394236800
"2184","A2GT3TNFITYMML","006230240X",5,1369353600
"2187","ABVXY3D3CCY1Q","006230240X",5,1366329600
"2190","A38GTWP8DC82GT","006230240X",3,1358380800
"2191","A14P4UH613ZFQZ","006230240X",5,1363651200
"2192","A3KN8RX7ZZ1ULZ","006230240X",3,1364774400
"2194","AZHZZONN1SO6P","006230240X",5,1391472000
"2195","A2N0V6GUH28XMN","006230240X",5,1357948800
"2197","A19UT0OPQCDR8","006230240X",5,1388966400
"2199","A31GMWA73W17SP","006230240X",4,1358208000
"2200","A3HUO6O1NQ5JPA","006230240X",5,1387238400
"2203","A17126555O7KXC","006230240X",3,1375315200
"2205","A17JIHQIDWN21H","006230240X",4,1362268800
"2207","A2VHD8U494G5M4","006230240X",5,1358380800
"2211","A1H35RNPTPP9RI","006230240X",5,1381622400
"2213","A23VKINWRY6J92","006230240X",5,1358294400
"2214","A30TZBEYTQK723","006230240X",4,1372032000
"2215","AKH906R0Z1PPS","006230240X",5,1380067200
"2216","A3TMD3W16REBOQ","006230240X",4,1373155200
"2218","A1KYXC0UYAK9UC","006230240X",5,1357948800
"2219","A27V6NFIQ8XFBW","006230240X",5,1390780800
"2220","A1MUAEATTGI7G5","006230240X",4,1357603200
"2221","A2414AAH5K0H10","006230240X",5,1387238400
"2223","A12ZO1K8ZVRBR5","006230240X",3,1365120000
"2225","A324QY39RJ9A4T","006230240X",5,1369785600
"2227","A1D427FYPTSWR0","006230240X",4,1358294400
"2228","A132J9IE3OXW7M","006230240X",4,1362182400
"2229","AJT87PLLRY7GG","006230240X",4,1366329600
"2230","A3EI0EW24KBT1J","006230240X",5,1361145600
"2233","A1EREL55X7JD56","006230240X",5,1357862400
"2234","A6EAXALXUOFHY","006230240X",5,1358121600
"2235","A1GSPADXH17N25","006230240X",4,1395100800
"2236","A1MU8E76C6HXW4","006230240X",5,1358294400
"2238","A143XY6COA69A","006230240X",5,1373155200
"2240","A2RQEIYIOV3QXD","006230240X",5,1368489600
"2241","A7QN3YS1SUO7G","006230240X",5,1358208000
"2242","AGBJLNGU1KNJU","006230240X",5,1367366400
"2243","A185DSX2TJYOEQ","006230240X",3,1364169600
"2245","A3H1YPKLPLWALL","006230240X",4,1369008000
"2249","A958LJ1BUJLG5","006230240X",4,1365465600
"2250","A2HJFCZ5YBYEXV","006230240X",4,1396828800
"2251","A2BGLPDRLCCEL2","006230240X",4,1363910400
"2253","A3PSJMCN64D07I","006230240X",4,1362614400
"2254","A33UUSX8ECQTRQ","006230240X",4,1363478400
"2256","AWEJZKUA7PKS4","006230240X",5,1371081600
"2257","AUTMCMDU1Y1O7","006230240X",5,1357689600
"2260","A1I12P53XRMJP0","006230240X",4,1379030400
"2262","A10PXQY535XY39","006230240X",4,1395187200
"2263","A1OJHBV5QL2DXJ","006230240X",5,1363046400
"2265","A3LW8GY42A4URK","006230240X",5,1373673600
"2266","A1JI83RLITTQST","006230240X",5,1362528000
"2267","A2UQGX6YMQ5BAL","006230240X",4,1394150400
"2269","A39B4H20EJ9PMT","006230240X",4,1358208000
"2272","A33JTEMYGCO69V","006230240X",4,1367452800
"2274","A1ULRFNOXE2I08","006230240X",5,1374969600
"2275","A29G5X33I71N83","006230240X",4,1358640000
"2278","A2ORQUJV81OPSC","006230240X",5,1369872000
"2282","A2103X7H4V415L","006230240X",5,1359417600
"2286","A1SFNAPI9UFL3D","006230240X",4,1389830400
"2287","A21J27Z4G0NZFA","006230240X",3,1357776000
"2292","AWC38PDUZQ8RJ","006230240X",4,1387065600
"2293","A1HTJ9URX28SY4","006230240X",5,1368921600
"2296","AGVIWB7GUWKE0","006230240X",4,1359849600
"2297","AM9W61ZE696PD","006230240X",5,1358380800
"2302","A3U41P3MHAEXYU","006230240X",4,1358208000
"2304","A2MI5ZSQ6IV07M","006230240X",3,1361404800
"2306","A2ZBOGVULTN8AC","006230240X",5,1370217600
"2307","AHBARDTLF35PU","006230240X",3,1364774400
"2312","A29M2V3Z5YIL2Q","006230240X",5,1357603200
"2314","A27WSU8CQ502TY","006230240X",5,1358380800
"2315","A1NMUPG3KMWRZM","006230240X",5,1364256000
"2316","A11HGVNM8Q5A2O","006230240X",4,1396915200
"2319","A1OIO7LQZPT7VX","006230240X",5,1369008000
"2322","A3AD2MXB66CYGL","006230240X",5,1389225600
"2324","A1ODOV9W7G3GF3","006230240X",4,1373932800
"2327","A9508DHWVHBTN","006230240X",5,1359244800
"2328","A1RN75YVR2O8MQ","006230240X",4,1390089600
"2331","ADH1DQ8EFBJEO","006230240X",5,1358035200
"2332","A2KZ6WK0HWB2TD","006230240X",4,1394841600
"2333","A3PATLW8T3PQV7","006230240X",4,1373155200
"2340","A2OS2JHUJ9B7E3","006230240X",4,1357603200
"2342","A3KBRXW4PKK2MT","006230240X",4,1362182400
"2344","A3HY7DE45OAY0G","006230240X",4,1358121600
"2345","A32CCK9Z1L2JBJ","006230240X",5,1361491200
"2351","A2A96H9YA1LG7G","006230240X",5,1386115200
"2353","A3QLMOH8UIPL74","006230240X",5,1361923200
"2358","AFC97KDPMJHXG","006230240X",5,1364515200
"2361","A20A8HZX37BOYL","006230240X",4,1369699200
"2365","A18O583BFX2LJR","006230240X",4,1366416000
"2366","AKF1XBBWAQR6L","006230240X",4,1387324800
"2367","A33KNBGC6UM133","006230240X",4,1358812800
"2370","A3W3XC01BFJJMR","006230240X",4,1394668800
"2373","A3QQ3G6YIZKGV","006230240X",5,1370044800
"2378","A3EJDCT3TAEC2","006230240X",5,1368489600
"2380","A11GG623AD89YT","006230240X",5,1387411200
"2382","A19DWIC1T7127Y","006230240X",5,1365724800
"2384","A17APVES3TT17Y","006230240X",5,1357948800
"2386","A7R4EAQ4KHLIY","006230240X",5,1357257600
"2391","A3C5VDFQ6IE702","006230240X",3,1361836800
"2392","A3KM84RAZA7XXC","006230240X",4,1361491200
"2395","A2H5U8EDKQEFXZ","006230240X",4,1389830400
"2396","A3FQPESOTN6T47","006230240X",5,1373587200
"2398","A1JKGTL51HHTU1","006230240X",4,1389225600
"2402","A2UMAQ532HI9S","006230240X",4,1393977600
"2404","A2N5N8XEU3HOG","0062302418",5,1398816000
"2406","AE4H1E8A90ZHT","0062302418",5,1369785600
"2411","ABVXY3D3CCY1Q","0062302418",4,1370044800
"2412","A2GT3TNFITYMML","0062302418",5,1371600000
"2415","A2N0V6GUH28XMN","0062302418",5,1371340800
"2416","A19UT0OPQCDR8","0062302418",5,1388966400
"2417","A1JLU5H1CCENWX","0062302418",5,1387843200
"2419","A3HUO6O1NQ5JPA","0062302418",5,1387238400
"2422","A17126555O7KXC","0062302418",3,1398816000
"2423","A2VHD8U494G5M4","0062302418",5,1370563200
"2426","A2PMOXCUSGGMX6","0062302418",5,1389657600
"2428","A3TMD3W16REBOQ","0062302418",5,1373155200
"2430","A2EMO71G07GYZG","0062302418",5,1383177600
"2434","A1MUAEATTGI7G5","0062302418",5,1369699200
"2435","A1HXF0IBWTAP84","0062302418",4,1389484800
"2436","A12ZO1K8ZVRBR5","0062302418",4,1370304000
"2437","A324QY39RJ9A4T","0062302418",5,1370822400
"2439","AIH41FDX1K0Z4","0062302418",4,1372550400
"2440","AJT87PLLRY7GG","0062302418",3,1371081600
"2441","A2OBZW6JIRROX6","0062302418",4,1385942400
"2443","A1EREL55X7JD56","0062302418",3,1380326400
"2444","A3U7ELIED4WP4R","0062302418",4,1397260800
"2445","ALY4MQYVAEE4U","0062302418",5,1369785600
"2446","A2KROI4ILOO4JY","0062302418",5,1370131200
"2448","A2RQEIYIOV3QXD","0062302418",4,1370304000
"2449","A7QN3YS1SUO7G","0062302418",5,1369872000
"2452","AN9O9JE1B8LLO","0062302418",4,1376697600
"2453","A2HJFCZ5YBYEXV","0062302418",3,1397433600
"2454","AWEJZKUA7PKS4","0062302418",4,1369872000
"2460","A33JTEMYGCO69V","0062302418",4,1379894400
"2462","A1ULRFNOXE2I08","0062302418",5,1375142400
"2463","A2MHRBM9MKRNTN","0062302418",5,1370563200
"2465","A2ORQUJV81OPSC","0062302418",5,1369872000
"2469","A64NGKLPWCG32","0062302418",3,1369872000
"2472","A1GRVX5Y1L702P","0062302418",4,1369872000
"2477","A2ZBOGVULTN8AC","0062302418",5,1370649600
"2480","A29M2V3Z5YIL2Q","0062302418",4,1370304000
"2481","A23GHQSCI24QI8","0062302418",5,1370822400
"2482","A3FQWDNO97VUGG","0062302418",5,1377043200
"2483","A64VNUAXNX8VO","0062302418",4,1371081600
"2484","A1OIO7LQZPT7VX","0062302418",5,1370736000
"2486","A3AD2MXB66CYGL","0062302418",4,1396396800
"2488","AHQHUBE9H5TGN","0062302418",4,1380585600
"2490","A9508DHWVHBTN","0062302418",5,1369872000
"2492","ADH1DQ8EFBJEO","0062302418",3,1369958400
"2493","A916DXE9W36GF","0062302418",5,1397520000
"2498","A3HY7DE45OAY0G","0062302418",4,1369785600
"2502","A1KZ6HQPP5S5DN","0062302418",4,1385164800
"2505","A3361XGKYF17S3","0062302418",5,1371600000
"2507","A3HS3KYR9D08MW","0062302418",5,1369958400
"2508","A18O583BFX2LJR","0062302418",3,1371513600
"2509","A33KNBGC6UM133","0062302418",5,1369699200
"2511","A3QQ3G6YIZKGV","0062302418",5,1370044800
"2512","A5IWXB9M79X30","0062302418",4,1374710400
"2516","A3EJDCT3TAEC2","0062302418",5,1370390400
"2518","A11GG623AD89YT","0062302418",4,1387411200
"2520","A19DWIC1T7127Y","0062302418",2,1370044800
"2522","A17APVES3TT17Y","0062302418",5,1369872000
"2523","A7R4EAQ4KHLIY","0062302418",5,1369699200
"2528","A2H5U8EDKQEFXZ","0062302418",4,1390003200
"2529","A3FQPESOTN6T47","0062302418",1,1374019200
"2533","A2N5N8XEU3HOG","0062302426",5,1398816000
"2535","A2RYT2UPEQXUAV","0062302426",4,1392768000
"2539","ABVXY3D3CCY1Q","0062302426",5,1389916800
"2541","A2N0V6GUH28XMN","0062302426",5,1392249600
"2542","A19UT0OPQCDR8","0062302426",5,1389225600
"2543","A1JLU5H1CCENWX","0062302426",5,1389225600
"2544","A31VVIXC2P84GG","0062302426",4,1389484800
"2546","A3HUO6O1NQ5JPA","0062302426",3,1394582400
"2547","A17126555O7KXC","0062302426",4,1391644800
"2549","ANO600Q3MHQ5P","0062302426",5,1389312000
"2550","A2VHD8U494G5M4","0062302426",4,1389657600
"2553","A2PMOXCUSGGMX6","0062302426",4,1389744000
"2555","A23VKINWRY6J92","0062302426",5,1389225600
"2559","A2EMO71G07GYZG","0062302426",5,1389225600
"2561","A1MUAEATTGI7G5","0062302426",5,1389139200
"2562","A1HXF0IBWTAP84","0062302426",5,1390435200
"2563","A2414AAH5K0H10","0062302426",5,1402790400
"2565","A12ZO1K8ZVRBR5","0062302426",5,1389052800
"2567","A324QY39RJ9A4T","0062302426",5,1389052800
"2569","AHZ63RT78P9U6","0062302426",5,1389052800
"2570","A2OBZW6JIRROX6","0062302426",5,1389830400
"2573","A1EREL55X7JD56","0062302426",5,1402272000
"2576","A38KPXZZ1AXYKR","0062302426",5,1389484800
"2578","A3BVZ567DH6SRJ","0062302426",5,1389398400
"2579","A2HJFCZ5YBYEXV","0062302426",4,1397433600
"2580","A2BGLPDRLCCEL2","0062302426",4,1390089600
"2582","A35CC2LV7L5GFE","0062302426",5,1389225600
"2587","A3LW8GY42A4URK","0062302426",4,1389657600
